,"case_51_wavelength_501, baseline error","case_51_wavelength_501, boosted model error"
count,119.0,119.0
mean,0.03544308836953413,0.44856767562771416
std,0.02597226904561172,0.02986060704251803
min,0.004911923085592197,0.3870097917904522
25%,0.01549522413066896,0.42455218850841425
50%,0.029153006742125752,0.44601118220477487
75%,0.048761577944475235,0.4762941110364384
max,0.12888178509181278,0.5052102281630406
